"UBIGEO","Departamento","Provincia","Distrito","C97_2_2_3","P60A_1_1","C96_1_3","P60B_1_1","C96_1_2_2","X","Y"
"150102","LIMA","LIMA","ANCON",2631758.84,98,259160.4,1019,0,-77.0958820528624,-11.7025586903217
"150103","LIMA","LIMA","ATE",25097234.56,899,3170234.04,14541,0,-76.8773204423061,-12.0326670652486
"150104","LIMA","LIMA","BARRANCO",2787578.37,19,662891.62,165,0,-77.020878640424,-12.1440728780693
"150105","LIMA","LIMA","BREÑA",2717918.66,51,235685.41,728,0,-77.0506366059508,-12.0591440547899
"150106","LIMA","LIMA","CARABAYLLO",10591190.9,646,991725.27,13102,0,-76.972917543414,-11.807384915367
"150107","LIMA","LIMA","CHACLACAYO",0,100,120889.72,1923,171,-76.7669691965279,-11.991641252991
"150108","LIMA","LIMA","CHORRILLOS",17077138.17,343,255798.8,4445,20,-77.005987208426,-12.1926457727498
"150109","LIMA","LIMA","CIENEGUILLA",1143045.83,21,452946.79,493,294,-76.7774572379442,-12.0765467536171
"150110","LIMA","LIMA","COMAS",18123682.84,1565,604372.48,35420,0,-77.0389195056924,-11.9290750425299
"150111","LIMA","LIMA","EL AGUSTINO",2300593,442,184491.09,9383,12100,-76.9875412585039,-12.0401247419664
"150112","LIMA","LIMA","INDEPENDENCIA",3769310.21,600,561674.07,6221,2519.1,-77.0460081795899,-11.987476922048
"150113","LIMA","LIMA","JESUS MARIA",7602467.86,21,842880.85,197,562.8,-77.0482418414979,-12.0780893640913
"150114","LIMA","LIMA","LA MOLINA",4857453.19,12,898694.38,253,0,-76.9258986555919,-12.0879991456628
"150115","LIMA","LIMA","LA VICTORIA",4768334.54,231,1127168.82,3032,0,-77.0173715192225,-12.0723183209064
"150116","LIMA","LIMA","LINCE",1968322.46,17,743837.72,281,934,-77.0356913272323,-12.085769921081
"150117","LIMA","LIMA","LOS OLIVOS",14047416.19,267,581945.67,11250,34111.03,-77.074377917197,-11.9725167675148
"150118","LIMA","LIMA","LURIGANCHO",13808458.19,291,637467.55,7181,0,-76.8015436678278,-11.9586072239952
"150119","LIMA","LIMA","LURIN",7039871.78,47,401030.29,1362,0,-76.8015471043324,-12.2343519523602
"150120","LIMA","LIMA","MAGDALENA DEL MAR",3248965.73,15,897511.01,323,0,-77.0670148295901,-12.0945781162757
"150121","LIMA","LIMA","PUEBLO LIBRE",0,10,413507.79,138,0,-77.0657890963532,-12.0750804711729
"150122","LIMA","LIMA","MIRAFLORES",8541263.45,8,9020300.82,69,0,-77.0290887048871,-12.1207934332686
"150123","LIMA","LIMA","PACHACAMAC",770670.85,173,648096.67,3806,0,-76.8098699049376,-12.1600050275451
"150124","LIMA","LIMA","PUCUSANA",3066418.1,20,183630.53,481,0,-76.7759863023609,-12.4662338943947
"150125","LIMA","LIMA","PUENTE PIEDRA",30093862.03,619,1934060.55,16116,685471.59,-77.0866638077975,-11.8721319899982
"150126","LIMA","LIMA","PUNTA HERMOSA",4515032.78,10,381164.87,217,0,-76.7437317481972,-12.2692449646054
"150127","LIMA","LIMA","PUNTA NEGRA",785851.15,8,331366.91,454,0,-76.7094184485054,-12.3036232869949
"150128","LIMA","LIMA","RIMAC",4812954.68,297,449146.06,5954,0,-77.0325881020891,-12.0235971090346
"150129","LIMA","LIMA","SAN BARTOLO",553949.73,6,345621.23,184,10089.6,-76.7241427698835,-12.3693824666027
"150130","LIMA","LIMA","SAN BORJA",4541103.5,2,1493514.58,30,44621.5,-76.9952627074918,-12.0975354864817
"150131","LIMA","LIMA","SAN ISIDRO",18540880.88,31,3739608.31,70,1788,-77.036772219556,-12.099001312448
"150132","LIMA","LIMA","SAN JUAN DE LURIGANCHO",17621511.07,2550,5262118.55,32587,0,-76.9714572042049,-11.9459415849557
"150133","LIMA","LIMA","SAN JUAN DE MIRAFLORES",14906810.29,227,509169.88,8266,0,-76.9665231888731,-12.1578188170145
"150134","LIMA","LIMA","SAN LUIS",422818.43,26,225440.78,644,0,-76.9972983759065,-12.0741047911233
"150135","LIMA","LIMA","SAN MARTIN DE PORRES",23064038.21,373,831892.52,20408,2,-77.0885072747346,-11.9927635991762
